Узел_ID;Раздел_Гена;Троп_λ_(Å);Нелинейн_Изгиб;Угол_Кручения_(°);Шаг_Спирали_(Å);Плотность_Букв_Å;Сила_ВанДерВаальса;Масса_Узла_(kDa);Хаос_RMSD;Статус
0;Gene_GAPDH_Energy;0.031;0.0;0.0;34.0;16187.38;4.293025588615954e+19;154.7;0.065;OFF (Блок)
1;Gene_GAPDH_Energy;0.03;0.0527;0.0;34.0;16708.32;1.077204613929322e+20;154.19;0.066;OFF (Блок)
2;Gene_GAPDH_Energy;0.03;0.0424;77.69;34.0;15855.87;9.766352234449073e+19;154.41;0.069;OFF (Блок)
3;Gene_GAPDH_Energy;0.026;0.1425;1.99;87.7;18419.12;1.0177565241441098e+21;154.47;0.074;OFF (Блок)
4;Gene_GAPDH_Energy;0.008;0.0487;42.58;34.0;37819.57;2.681500930556161e+27;154.12;0.079;OFF (Блок)
5;Gene_GAPDH_Energy;0.009;0.7816;89.05;34.0;57902.6;6.765070530885299e+26;154.87;0.084;OFF (Блок)
6;Gene_TP53_Onco;0.009;1.8101;16.35;56.76;22098.99;6.737798805062033e+26;154.4;0.089;OFF (Блок)
7;Gene_TP53_Onco;0.008;0.0992;73.17;34.0;21338.37;2.6789290436157034e+27;154.58;0.094;OFF (Блок)
8;Gene_TP53_Onco;0.023;0.0642;40.18;34.0;17817.75;2.1519531830684368e+21;154.4;0.098;OFF (Блок)
9;Gene_TP53_Onco;0.02;0.1416;19.78;34.0;16406.41;1.4691223005411687e+22;154.68;0.1;OFF (Блок)
10;Gene_TP53_Onco;0.012;0.1694;23.87;34.0;32173.12;1.0034321480749808e+25;154.14;0.101;OFF (Блок)
11;Gene_TP53_Onco;0.008;0.6046;11.61;34.0;62126.42;1.6829850651980542e+27;154.51;0.101;OFF (Блок)
12;Gene_TP53_Onco;0.008;0.3026;5.6;34.0;44627.57;1.7054310058751975e+27;154.26;0.1;OFF (Блок)
13;Gene_BRCA1_Repair;0.011;1.0175;0.79;4.89;19528.23;2.2874619191235516e+25;154.55;0.097;OFF (Блок)
14;Gene_BRCA1_Repair;0.012;0.0051;49.7;34.0;18428.1;9.711952058524004e+24;154.3;0.094;OFF (Блок)
15;Gene_BRCA1_Repair;0.025;0.1571;39.89;34.0;14780.04;8.983268962681822e+20;154.54;0.089;OFF (Блок)
16;Gene_BRCA1_Repair;0.025;0.1165;24.59;34.0;20364.86;1.109084240607417e+21;154.61;0.084;OFF (Блок)
17;Gene_BRCA1_Repair;0.007;0.0663;5.0;34.0;38026.53;1.3930508363908276e+28;155.43;0.079;OFF (Блок)
18;Gene_BRCA1_Repair;0.01;0.4748;50.12;34.0;50526.9;1.2227858960964878e+26;153.91;0.073;OFF (Блок)
19;Gene_BRCA1_Repair;0.01;1.9359;30.32;98.42;23369.55;1.1461574447804516e+26;154.26;0.069;OFF (Блок)
20;Gene_BRCA1_Repair;0.007;0.1154;53.89;34.0;20265.24;1.393248543948438e+28;154.09;0.066;OFF (Блок)
21;Gene_NF1_Neuro;0.025;0.0551;67.88;34.0;15683.49;1.2365585409581357e+21;154.48;0.065;OFF (Блок)
22;Gene_NF1_Neuro;0.032;0.0489;13.81;34.0;14272.01;3.6863690954530898e+19;153.7;0.067;OFF (Блок)
23;Gene_NF1_Neuro;0.024;0.0741;0.18;15.44;20650.34;1.027896546807053e+21;154.05;0.07;OFF (Блок)
24;Gene_NF1_Neuro;0.016;0.1304;11.01;34.0;31660.75;2.6414470751417933e+23;154.63;0.074;OFF (Блок)
25;Gene_NF1_Neuro;0.016;0.0;0.0;34.0;31660.75;2.6312967251431286e+23;154.79;0.079;OFF (Блок)
