Узел_ID;Раздел_Гена;Троп_λ_(Å);Нелинейн_Изгиб;Угол_Кручения_(°);Шаг_Спирали_(Å);Плотность_Букв_Å;Сила_ВанДерВаальса;Масса_Узла_(kDa);Хаос_RMSD;Статус
0;Gene_GAPDH_Energy;"=""0.02""";"=""0.0""";"=""0.0""";"=""34.0""";"=""19531697.33""";"=""1.1285774224316013e+22""";"=""121422.93""";"=""0.048""";OFF (Блок)
1;Gene_GAPDH_Energy;"=""0.018""";"=""0.1501""";"=""0.0""";"=""34.0""";"=""22247924.7""";"=""7.258591064751558e+22""";"=""121392.11""";"=""0.047""";OFF (Блок)
2;Gene_GAPDH_Energy;"=""0.018""";"=""0.1577""";"=""64.92""";"=""34.0""";"=""18322315.01""";"=""6.622180229451403e+22""";"=""121366.65""";"=""0.046""";OFF (Блок)
3;Gene_GAPDH_Energy;"=""0.021""";"=""0.2655""";"=""2.48""";"=""58.76""";"=""15052865.03""";"=""5.30055996533714e+21""";"=""121381.85""";"=""0.044""";OFF (Блок)
4;Gene_GAPDH_Energy;"=""0.02""";"=""0.1421""";"=""16.34""";"=""34.0""";"=""19637604.42""";"=""1.2592419346183675e+22""";"=""121383.82""";"=""0.041""";OFF (Блок)
5;Gene_GAPDH_Energy;"=""0.02""";"=""0.1842""";"=""54.17""";"=""34.0""";"=""18047457.94""";"=""1.7658231804811238e+22""";"=""121363.63""";"=""0.038""";OFF (Блок)
6;Gene_TP53_Onco;"=""0.019""";"=""0.9855""";"=""74.34""";"=""34.0""";"=""20865883.07""";"=""3.078894099315399e+22""";"=""121399.59""";"=""0.034""";OFF (Блок)
7;Gene_TP53_Onco;"=""0.011""";"=""0.1391""";"=""28.13""";"=""34.0""";"=""35353566.82""";"=""2.529122280480991e+25""";"=""121367.73""";"=""0.03""";OFF (Блок)
8;Gene_TP53_Onco;"=""0.011""";"=""0.4911""";"=""38.78""";"=""34.0""";"=""31962638.24""";"=""3.2063549804913e+25""";"=""121359.58""";"=""0.027""";OFF (Блок)
9;Gene_TP53_Onco;"=""0.012""";"=""0.3885""";"=""26.47""";"=""34.0""";"=""17759205.31""";"=""6.82182662877008e+24""";"=""121370.21""";"=""0.024""";OFF (Блок)
10;Gene_TP53_Onco;"=""0.021""";"=""0.3911""";"=""0.86""";"=""13.81""";"=""18590719.35""";"=""1.0445898335236483e+22""";"=""121431.98""";"=""0.022""";OFF (Блок)
11;Gene_TP53_Onco;"=""0.021""";"=""0.1543""";"=""16.49""";"=""34.0""";"=""16235990.39""";"=""7.240130361124082e+21""";"=""121409.1""";"=""0.022""";OFF (Блок)
12;Gene_TP53_Onco;"=""0.024""";"=""0.0238""";"=""8.78""";"=""34.0""";"=""14536794.98""";"=""1.2734116664786312e+21""";"=""121493.8""";"=""0.024""";OFF (Блок)
13;Gene_BRCA1_Repair;"=""0.022""";"=""0.6109""";"=""10.82""";"=""34.0""";"=""17854140.41""";"=""3.838185990423824e+21""";"=""121429.47""";"=""0.027""";OFF (Блок)
14;Gene_BRCA1_Repair;"=""0.019""";"=""0.0155""";"=""44.05""";"=""34.0""";"=""18935045.24""";"=""2.8537654982774557e+22""";"=""121425.93""";"=""0.03""";OFF (Блок)
15;Gene_BRCA1_Repair;"=""0.021""";"=""0.4652""";"=""19.23""";"=""34.0""";"=""18760139.22""";"=""2.006026878354545e+22""";"=""121403.75""";"=""0.034""";OFF (Блок)
16;Gene_BRCA1_Repair;"=""0.014""";"=""0.4573""";"=""1.72""";"=""23.59""";"=""27420078.19""";"=""9.361880708663605e+23""";"=""121334.12""";"=""0.038""";OFF (Блок)
17;Gene_BRCA1_Repair;"=""0.012""";"=""0.4053""";"=""16.99""";"=""34.0""";"=""31656979.73""";"=""6.937388969403338e+24""";"=""121401.02""";"=""0.041""";OFF (Блок)
18;Gene_BRCA1_Repair;"=""0.012""";"=""0.1153""";"=""40.17""";"=""34.0""";"=""19809847.68""";"=""6.024110595406391e+24""";"=""121361.31""";"=""0.044""";OFF (Блок)
19;Gene_BRCA1_Repair;"=""0.02""";"=""1.0447""";"=""36.31""";"=""34.0""";"=""19385995.57""";"=""2.3855308576617157e+22""";"=""121410.28""";"=""0.046""";OFF (Блок)
20;Gene_BRCA1_Repair;"=""0.018""";"=""0.1754""";"=""62.06""";"=""34.0""";"=""21594042.99""";"=""6.95019917792875e+22""";"=""121333.82""";"=""0.047""";OFF (Блок)
21;Gene_NF1_Neuro;"=""0.018""";"=""0.2212""";"=""53.0""";"=""34.0""";"=""19242286.0""";"=""5.585809862423592e+22""";"=""121402.52""";"=""0.048""";OFF (Блок)
22;Gene_NF1_Neuro;"=""0.02""";"=""0.1701""";"=""12.97""";"=""34.0""";"=""16569576.91""";"=""1.1617349639604577e+22""";"=""121376.33""";"=""0.047""";OFF (Блок)
23;Gene_NF1_Neuro;"=""0.019""";"=""0.2872""";"=""4.24""";"=""92.68""";"=""20691612.88""";"=""2.525295649873225e+22""";"=""121474.62""";"=""0.046""";OFF (Блок)
24;Gene_NF1_Neuro;"=""0.019""";"=""0.2176""";"=""6.68""";"=""34.0""";"=""18944894.56""";"=""3.149855681009697e+22""";"=""121432.38""";"=""0.044""";OFF (Блок)
25;Gene_NF1_Neuro;"=""0.021""";"=""0.0""";"=""0.0""";"=""34.0""";"=""18946003.26""";"=""7.639671987930992e+21""";"=""121364.14""";"=""0.041""";OFF (Блок)
