Микро_Зона_ID;Координата_Старт;Координата_Конец;Родительский_3D_Узел;Букв_в_куске;Масса_Куска_(kDa);GC_Состав_%
Zone_0;49897450;49898471;Node_0;1021;315.92;34.1
Zone_1;49898471;49899492;Node_0;1021;316.673;33.6
Zone_2;49899492;49900513;Node_0;1021;315.309;42.9
Zone_3;49900513;49901534;Node_0;1021;315.13;37.5
Zone_4;49901534;49902555;Node_0;1021;315.518;37.1
Zone_5;49902555;49903576;Node_0;1021;316.233;39.2
Zone_6;49903576;49904597;Node_0;1021;315.781;34.1
Zone_7;49904597;49905618;Node_0;1021;315.772;35.0
Zone_8;49905618;49906639;Node_0;1021;315.027;31.2
Zone_9;49906639;49907660;Node_0;1021;315.195;31.8
Zone_10;49907660;49908681;Node_0;1021;315.717;39.7
Zone_11;49908681;49909702;Node_0;1021;316.876;35.3
Zone_12;49909702;49910723;Node_0;1021;318.704;37.3
Zone_13;49910723;49911744;Node_0;1021;317.006;44.3
Zone_14;49911744;49912765;Node_0;1021;314.421;43.9
Zone_15;49912765;49913786;Node_0;1021;314.915;43.6
Zone_16;49913786;49914807;Node_0;1021;313.254;40.9
Zone_17;49914807;49915828;Node_0;1021;316.249;50.4
Zone_18;49915828;49916849;Node_0;1021;316.348;43.2
Zone_19;49916849;49917870;Node_0;1021;315.04;39.5
Zone_20;49917870;49918891;Node_0;1021;315.634;37.7
Zone_21;49918891;49919912;Node_0;1021;315.303;38.9
Zone_22;49919912;49920933;Node_0;1021;315.644;38.7
Zone_23;49920933;49921954;Node_0;1021;315.855;42.5
Zone_24;49921954;49922975;Node_0;1021;315.069;35.0
Zone_25;49922975;49923996;Node_0;1021;316.026;35.4
Zone_26;49923996;49925017;Node_0;1021;316.54;38.2
Zone_27;49925017;49926038;Node_0;1021;316.659;52.4
Zone_28;49926038;49927059;Node_0;1021;316.617;40.6
Zone_29;49927059;49928080;Node_0;1021;315.949;37.1
Zone_30;49928080;49929101;Node_0;1021;315.414;38.1
Zone_31;49929101;49930122;Node_0;1021;316.397;29.8
Zone_32;49930122;49931143;Node_0;1021;315.346;29.2
Zone_33;49931143;49932164;Node_0;1021;316.02;33.9
Zone_34;49932164;49933185;Node_0;1021;315.968;32.6
Zone_35;49933185;49934206;Node_0;1021;316.737;29.9
Zone_36;49934206;49935227;Node_0;1021;316.36;40.0
Zone_37;49935227;49936248;Node_0;1021;316.153;50.5
Zone_38;49936248;49937269;Node_0;1021;316.665;40.3
Zone_39;49937269;49938290;Node_0;1021;315.244;37.9
Zone_40;49938290;49939311;Node_0;1021;315.293;39.2
Zone_41;49939311;49940332;Node_0;1021;315.668;38.6
Zone_42;49940332;49941353;Node_0;1021;316.02;35.7
Zone_43;49941353;49942374;Node_0;1021;315.304;28.4
Zone_44;49942374;49943395;Node_0;1021;316.304;34.4
Zone_45;49943395;49944416;Node_0;1021;314.796;50.4
Zone_46;49944416;49945437;Node_0;1021;316.138;36.8
Zone_47;49945437;49946458;Node_0;1021;315.371;32.3
Zone_48;49946458;49947479;Node_0;1021;315.714;33.8
Zone_49;49947479;49948500;Node_0;1021;315.492;19.9
Zone_50;49948500;49949521;Node_0;1021;315.911;32.3
Zone_51;49949521;49950542;Node_0;1021;315.801;33.9
Zone_52;49950542;49951563;Node_0;1021;316.533;34.4
Zone_53;49951563;49952584;Node_0;1021;315.863;32.9
Zone_54;49952584;49953605;Node_0;1021;314.876;33.7
Zone_55;49953605;49954626;Node_0;1021;314.313;39.8
Zone_56;49954626;49955647;Node_0;1021;314.453;34.0
Zone_57;49955647;49956668;Node_0;1021;315.105;31.4
Zone_58;49956668;49957689;Node_0;1021;316.871;36.8
Zone_59;49957689;49958710;Node_0;1021;315.31;40.5
Zone_60;49958710;49959731;Node_0;1021;317.427;37.1
Zone_61;49959731;49960752;Node_0;1021;316.435;33.7
Zone_62;49960752;49961773;Node_0;1021;316.545;36.0
Zone_63;49961773;49962794;Node_0;1021;315.453;32.1
Zone_64;49962794;49963815;Node_0;1021;315.356;36.9
Zone_65;49963815;49964836;Node_0;1021;315.42;29.7
Zone_66;49964836;49965857;Node_0;1021;314.196;35.1
Zone_67;49965857;49966878;Node_0;1021;314.848;36.9
Zone_68;49966878;49967899;Node_0;1021;315.743;37.3
Zone_69;49967899;49968920;Node_0;1021;315.239;39.2
Zone_70;49968920;49969941;Node_0;1021;314.283;35.7
Zone_71;49969941;49970962;Node_0;1021;315.848;37.5
Zone_72;49970962;49971983;Node_0;1021;315.878;34.4
Zone_73;49971983;49973004;Node_0;1021;314.268;41.5
Zone_74;49973004;49974025;Node_0;1021;315.497;32.3
Zone_75;49974025;49975046;Node_0;1021;316.24;30.8
Zone_76;49975046;49976067;Node_0;1021;314.606;35.0
Zone_77;49976067;49977088;Node_0;1021;313.853;32.3
Zone_78;49977088;49978109;Node_0;1021;311.902;37.5
Zone_79;49978109;49979130;Node_0;1021;316.275;33.1
Zone_80;49979130;49980151;Node_0;1021;316.132;40.1
Zone_81;49980151;49981172;Node_0;1021;314.32;33.3
Zone_82;49981172;49982193;Node_0;1021;315.069;31.3
Zone_83;49982193;49983214;Node_0;1021;315.566;56.7
Zone_84;49983214;49984235;Node_0;1021;314.468;46.5
Zone_85;49984235;49985256;Node_0;1021;314.852;39.1
Zone_86;49985256;49986277;Node_0;1021;315.302;33.5
Zone_87;49986277;49987298;Node_0;1021;314.036;32.8
Zone_88;49987298;49988319;Node_0;1021;314.89;27.5
Zone_89;49988319;49989340;Node_0;1021;315.113;36.4
Zone_90;49989340;49990361;Node_0;1021;315.507;34.8
Zone_91;49990361;49991382;Node_0;1021;315.002;33.1
Zone_92;49991382;49992403;Node_0;1021;314.105;38.9
Zone_93;49992403;49993424;Node_0;1021;313.238;37.6
Zone_94;49993424;49994445;Node_0;1021;314.343;37.3
Zone_95;49994445;49995466;Node_0;1021;316.638;49.3
Zone_96;49995466;49996487;Node_0;1021;314.719;44.2
Zone_97;49996487;49997508;Node_0;1021;316.268;33.7
Zone_98;49997508;49998529;Node_0;1021;316.076;31.8
Zone_99;49998529;49999550;Node_0;1021;315.045;37.2
Zone_100;49999550;50000571;Node_0;1021;315.716;35.6
Zone_101;50000571;50001592;Node_0;1021;317.045;31.1
Zone_102;50001592;50002613;Node_0;1021;314.808;41.2
Zone_103;50002613;50003634;Node_0;1021;315.572;33.1
Zone_104;50003634;50004655;Node_0;1021;315.876;45.7
Zone_105;50004655;50005676;Node_0;1021;315.741;47.5
Zone_106;50005676;50006697;Node_0;1021;317.384;39.5
Zone_107;50006697;50007718;Node_0;1021;316.479;35.5
Zone_108;50007718;50008739;Node_0;1021;316.068;32.2
Zone_109;50008739;50009760;Node_0;1021;315.46;33.4
Zone_110;50009760;50010781;Node_0;1021;315.966;36.6
Zone_111;50010781;50011802;Node_0;1021;316.467;34.4
Zone_112;50011802;50012823;Node_0;1021;316.566;39.5
Zone_113;50012823;50013844;Node_0;1021;315.328;31.4
Zone_114;50013844;50014865;Node_0;1021;314.909;43.0
Zone_115;50014865;50015886;Node_0;1021;314.741;38.5
Zone_116;50015886;50016907;Node_0;1021;316.484;39.7
Zone_117;50016907;50017928;Node_0;1021;314.563;37.0
Zone_118;50017928;50018949;Node_0;1021;314.806;27.5
Zone_119;50018949;50019970;Node_0;1021;314.078;33.1
