Микро_Зона_ID;Координата_Старт;Координата_Конец;Родительский_3D_Узел;Букв_в_куске;Масса_Куска_(kDa);GC_Состав_%;Т_Плавления_(C);CpG_Островки_(шт);GC_Skew;AT_Skew;Индекс_Изгибаемости;Потенциал_Z_ДНК_%;Сродство_Нуклеосом_%;Жесткость_Точечная_(3-mer);Жесткость_Полувитка_(5-mer);Периодичность_Витка_(10-mer);Регуляторный_Профиль_(20-mer);Энергия_Деформации_(kT);Локальная_Гидрофобность;Микро_Заряд_Дебая
Zone_0;49897450;49898471;Node_0;1021;"=""315.92""";"=""34.1""";"=""2738.0""";"=""3.0""";"=""-0.0805""";"=""0.37""";"=""0.044""";"=""3.13""";"=""43.86""";"=""0.0433""";"=""0.0445""";"=""43.86""";"=""34.04""";"=""0.308""";"=""319.782""";"=""10.5433"""
Zone_1;49898471;49899492;Node_0;1021;"=""316.673""";"=""33.6""";"=""2728.0""";"=""4.0""";"=""0.1079""";"=""0.1888""";"=""0.0449""";"=""5.09""";"=""44.46""";"=""0.0444""";"=""0.0443""";"=""44.46""";"=""33.26""";"=""0.31""";"=""320.297""";"=""10.5684"""
Zone_2;49899492;49900513;Node_0;1021;"=""315.309""";"=""42.9""";"=""2918.0""";"=""11.0""";"=""-0.0091""";"=""-0.0051""";"=""0.0474""";"=""3.53""";"=""35.54""";"=""0.0464""";"=""0.0441""";"=""35.54""";"=""43.01""";"=""0.312""";"=""321.207""";"=""10.5229"""
Zone_3;49900513;49901534;Node_0;1021;"=""315.13""";"=""37.5""";"=""2808.0""";"=""1.0""";"=""-0.0966""";"=""0.1724""";"=""0.0466""";"=""3.92""";"=""38.91""";"=""0.0458""";"=""0.0448""";"=""38.91""";"=""37.47""";"=""0.305""";"=""320.92""";"=""10.5169"""
Zone_4;49901534;49902555;Node_0;1021;"=""315.518""";"=""37.1""";"=""2800.0""";"=""3.0""";"=""-0.1187""";"=""0.3614""";"=""0.0458""";"=""3.92""";"=""39.6""";"=""0.045""";"=""0.0446""";"=""39.6""";"=""36.95""";"=""0.306""";"=""320.553""";"=""10.5299"""
Zone_5;49902555;49903576;Node_0;1021;"=""316.233""";"=""39.2""";"=""2842.0""";"=""8.0""";"=""0.02""";"=""0.2464""";"=""0.0467""";"=""5.48""";"=""38.12""";"=""0.0461""";"=""0.0447""";"=""38.12""";"=""39.01""";"=""0.306""";"=""321.059""";"=""10.5537"""
Zone_6;49903576;49904597;Node_0;1021;"=""315.781""";"=""34.1""";"=""2738.0""";"=""0.0""";"=""0.0057""";"=""0.1263""";"=""0.0459""";"=""1.57""";"=""45.05""";"=""0.0453""";"=""0.045""";"=""45.05""";"=""33.77""";"=""0.303""";"=""320.694""";"=""10.5387"""
Zone_7;49904597;49905618;Node_0;1021;"=""315.772""";"=""35.0""";"=""2756.0""";"=""1.0""";"=""0.0308""";"=""0.0633""";"=""0.0454""";"=""3.13""";"=""42.18""";"=""0.0446""";"=""0.0448""";"=""42.18""";"=""35.02""";"=""0.305""";"=""320.394""";"=""10.5383"""
Zone_8;49905618;49906639;Node_0;1021;"=""315.027""";"=""31.2""";"=""2680.0""";"=""4.0""";"=""-0.0596""";"=""0.0199""";"=""0.0449""";"=""4.31""";"=""47.92""";"=""0.0443""";"=""0.0448""";"=""47.92""";"=""31.26""";"=""0.304""";"=""320.259""";"=""10.5135"""
Zone_9;49906639;49907660;Node_0;1021;"=""315.195""";"=""31.8""";"=""2692.0""";"=""2.0""";"=""-0.04""";"=""0.0345""";"=""0.0449""";"=""4.31""";"=""47.43""";"=""0.0444""";"=""0.045""";"=""47.43""";"=""31.62""";"=""0.302""";"=""320.272""";"=""10.5191"""
